2025-07-02 13:22:40 | Main         | INFO     | run_analysis_mode |   고득점 종목: 0개
2025-07-02 13:22:40 | Main         | INFO     | run_analysis_mode | 
🏆 상위 종목:
2025-07-02 13:22:40 | Main         | INFO     | run_analysis_mode |   1. 000660 (SK하이닉스) - 점수: 67.2, 추천: WEAK_BUY
2025-07-02 13:22:40 | Main         | INFO     | run_analysis_mode |   2. 051910 (LG화학) - 점수: 60.9, 추천: WEAK_BUY
2025-07-02 13:22:40 | Main         | INFO     | run_analysis_mode |   3. 035720 (카카오) - 점수: 58.8, 추천: WEAK_BUY
2025-07-02 13:22:40 | Main         | INFO     | run_analysis_mode |   4. 005490 (POSCO홀딩스) - 점수: 56.7, 추천: HOLD
2025-07-02 13:22:40 | Main         | INFO     | run_analysis_mode |   5. 005930 (삼성전자) - 점수: 54.3, 추천: HOLD
2025-07-02 13:22:40 | Main         | INFO     | run_analysis_mode | ✅ 분석 모드 완료
2025-07-02 13:22:40 | Main         | INFO     | main            | ✅ 프로그램 정상 종료
2025-07-02 13:23:10 | Main         | INFO     | main            | 🚀 시스템 시작 - 모드: analysis, 전략: momentum
2025-07-02 13:23:10 | Main         | INFO     | main            | ⏰ 시작 시간: 2025-07-02 13:23:10
2025-07-02 13:23:10 | Main         | INFO     | run_analysis_mode | 🔍 분석 모드 시작
2025-07-02 13:23:11 | AnalysisEngine | INFO     | __init__        | 🧠 분석 엔진 초기화 완료
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | ✅ 분석 엔진 초기화 완료
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | 📊 5개 종목 분석 시작
2025-07-02 13:23:11 | Main         | INFO     | run_analysis_mode | [1/5] 005930 삼성전자 분석 중...
2025-07-02 13:23:11 | AnalysisEngine | INFO     | analyze_comprehensive | 🔍 005930 삼성전자 종합 분석 시작
2025-07-02 13:23:11 | TechnicalAnalyzer | INFO     | analyze         | ✅ 기술적 분석 완료 - 점수: 30.5
2025-07-02 13:23:11 | FundamentalAnalyzer | INFO     | analyze         | ✅ 펀더멘털 분석 완료 - 점수: 40.2
