2025-07-18 10:08:26 | SmartKISCollector | INFO     | __init__        | ✅ SmartKISCollector 초기화 완료
2025-07-18 10:08:26 | SmartKISCollector | INFO     | initialize      | 🚀 KIS API 초기화 시작...
2025-07-18 10:08:26 | SmartKISCollector | INFO     | load_cached_token | 🔄 저장된 토큰이 곧 만료됨
2025-07-18 10:08:26 | SmartKISCollector | INFO     | request_new_token | 🔑 새 토큰 발급 중...
2025-07-18 10:08:27 | SmartKISCollector | INFO     | _save_token_to_file | 💾 토큰 캐시 저장 완료
2025-07-18 10:08:27 | SmartKISCollector | INFO     | request_new_token | ✅ 새 토큰 발급 성공
2025-07-18 10:08:27 | SmartKISCollector | INFO     | _test_connection | ✅ 연결 테스트 성공
2025-07-18 10:08:27 | SmartKISCollector | INFO     | initialize      | ✅ KIS API 초기화 완료
2025-07-18 10:08:28 | AnalysisEngine | INFO     | __init__        | ✅ 뉴스 수집기 초기화 완료
2025-07-18 10:08:28 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-07-18 10:08:28 | AnalysisEngine | INFO     | __init__        | ✅ 향상된 기술적 분석기 초기화 완료
2025-07-18 10:08:28 | AnalysisEngine | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-18 10:08:28 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-18 10:08:28 | AnalysisEngine | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-18 10:08:29 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-07-18 10:08:29 | SmartKISCollector | INFO     | get_filtered_stocks | 🔍 필터링된 종목 조회 시작 (목표: 100개)
2025-07-18 10:08:29 | SmartKISCollector | INFO     | collect_filtered_stocks | 🎯 필터링된 종목 수집 시작 (최대 100개)
2025-07-18 10:08:29 | SmartKISCollector | INFO     | get_stock_list  | 📋 종목 리스트 조회 중...
2025-07-18 10:08:32 | SmartKISCollector | INFO     | _get_stock_list_pykrx | 📅 조회 기준일: 20250718
2025-07-18 10:08:37 | SmartKISCollector | INFO     | _get_stock_list_pykrx | ✅ KOSPI 870개
