18:02:58 | TradingSystem | INFO | ❌ 066670 분석 결과 없음
18:02:59 | TradingSystem | INFO | 🔬 351320 (넥사다이내믹스) 분석 시작...
18:02:59 | TradingSystem | WARNING | ⚠️ 351320 데이터 수집 실패
18:02:59 | TradingSystem | INFO | ❌ 351320 분석 결과 없음
18:02:59 | TradingSystem | INFO | 🔬 034020 (두산에너빌리티) 분석 시작...
18:02:59 | TradingSystem | WARNING | ⚠️ 034020 데이터 수집 실패
18:02:59 | TradingSystem | INFO | ❌ 034020 분석 결과 없음
18:02:59 | TradingSystem | INFO | 🔬 038290 (마크로젠) 분석 시작...
18:02:59 | TradingSystem | WARNING | ⚠️ 038290 데이터 수집 실패
18:02:59 | TradingSystem | INFO | ❌ 038290 분석 결과 없음
18:02:59 | TradingSystem | INFO | 🔬 122640 (예스티) 분석 시작...
18:02:59 | TradingSystem | WARNING | ⚠️ 122640 데이터 수집 실패
18:02:59 | TradingSystem | INFO | ❌ 122640 분석 결과 없음
18:02:59 | TradingSystem | INFO | 🔬 004650 (창해에탄올) 분석 시작...
18:02:59 | TradingSystem | WARNING | ⚠️ 004650 데이터 수집 실패
18:02:59 | TradingSystem | INFO | ❌ 004650 분석 결과 없음
18:02:59 | TradingSystem | INFO | 🔬 179290 (엠아이텍) 분석 시작...
18:02:59 | TradingSystem | WARNING | ⚠️ 179290 데이터 수집 실패
18:02:59 | TradingSystem | INFO | ❌ 179290 분석 결과 없음
18:02:59 | TradingSystem | INFO | 🔬 088260 (이리츠코크렙) 분석 시작...
18:02:59 | TradingSystem | WARNING | ⚠️ 088260 데이터 수집 실패
18:02:59 | TradingSystem | INFO | ❌ 088260 분석 결과 없음
18:02:59 | TradingSystem | INFO | 🔬 322180 (LS티라유텍) 분석 시작...
18:02:59 | TradingSystem | WARNING | ⚠️ 322180 데이터 수집 실패
18:02:59 | TradingSystem | INFO | ❌ 322180 분석 결과 없음
18:02:59 | TradingSystem | INFO | 🔬 005257 (녹십자홀딩스2우) 분석 시작...
18:02:59 | TradingSystem | WARNING | ⚠️ 005257 데이터 수집 실패
18:02:59 | TradingSystem | INFO | ❌ 005257 분석 결과 없음
18:03:00 | TradingSystem | INFO | 🔬 160190 (하이젠알앤엠) 분석 시작...
18:03:00 | TradingSystem | WARNING | ⚠️ 160190 데이터 수집 실패
18:03:00 | TradingSystem | INFO | ❌ 160190 분석 결과 없음
18:03:00 | TradingSystem | INFO | 🔬 001540 (안국약품) 분석 시작...
18:03:00 | TradingSystem | WARNING | ⚠️ 001540 데이터 수집 실패
18:03:00 | TradingSystem | INFO | ❌ 001540 분석 결과 없음
18:03:00 | TradingSystem | INFO | 🔬 425420 (티에프이) 분석 시작...
18:03:00 | TradingSystem | WARNING | ⚠️ 425420 데이터 수집 실패
18:03:00 | TradingSystem | INFO | ❌ 425420 분석 결과 없음
18:03:00 | TradingSystem | INFO | 🔬 021040 (대호특수강) 분석 시작...
18:03:00 | TradingSystem | WARNING | ⚠️ 021040 데이터 수집 실패
18:03:00 | TradingSystem | INFO | ❌ 021040 분석 결과 없음
18:03:00 | TradingSystem | INFO | 🔬 038110 (에코플라스틱) 분석 시작...
18:03:00 | TradingSystem | WARNING | ⚠️ 038110 데이터 수집 실패
18:03:00 | TradingSystem | INFO | ❌ 038110 분석 결과 없음
18:03:00 | TradingSystem | INFO | 🔬 039560 (다산네트웍스) 분석 시작...
18:03:00 | TradingSystem | WARNING | ⚠️ 039560 데이터 수집 실패
18:03:00 | TradingSystem | INFO | ❌ 039560 분석 결과 없음
18:03:00 | TradingSystem | INFO | 🔬 074600 (원익QnC) 분석 시작...
18:03:00 | TradingSystem | WARNING | ⚠️ 074600 데이터 수집 실패
18:03:00 | TradingSystem | INFO | ❌ 074600 분석 결과 없음
18:03:00 | TradingSystem | INFO | 🔬 280360 (롯데웰푸드) 분석 시작...
18:03:00 | TradingSystem | WARNING | ⚠️ 280360 데이터 수집 실패
18:03:00 | TradingSystem | INFO | ❌ 280360 분석 결과 없음
18:03:00 | TradingSystem | INFO | 🔬 015360 (INVENI) 분석 시작...
18:03:00 | TradingSystem | WARNING | ⚠️ 015360 데이터 수집 실패
18:03:00 | TradingSystem | INFO | ❌ 015360 분석 결과 없음
18:03:01 | TradingSystem | INFO | 🔬 097870 (효성오앤비) 분석 시작...
18:03:01 | TradingSystem | WARNING | ⚠️ 097870 데이터 수집 실패
18:03:01 | TradingSystem | INFO | ❌ 097870 분석 결과 없음
18:03:01 | TradingSystem | INFO | 🔬 120030 (조선선재) 분석 시작...
18:03:01 | TradingSystem | WARNING | ⚠️ 120030 데이터 수집 실패
18:03:01 | TradingSystem | INFO | ❌ 120030 분석 결과 없음
18:03:01 | TradingSystem | INFO | 🔬 023910 (대한약품) 분석 시작...
18:03:01 | TradingSystem | WARNING | ⚠️ 023910 데이터 수집 실패
