2025-07-05 09:44:56 | TradingSystem | ERROR    | analyze_symbol  | ❌ 095340 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:45:05 | TradingSystem | ERROR    | analyze_symbol  | ❌ 034020 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:45:13 | TradingSystem | ERROR    | analyze_symbol  | ❌ 030200 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:45:23 | TradingSystem | ERROR    | analyze_symbol  | ❌ 051600 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:45:32 | TradingSystem | ERROR    | analyze_symbol  | ❌ 017670 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:45:40 | TradingSystem | ERROR    | analyze_symbol  | ❌ 007660 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:45:48 | TradingSystem | ERROR    | analyze_symbol  | ❌ 028300 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:45:57 | TradingSystem | ERROR    | analyze_symbol  | ❌ 302440 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:46:06 | TradingSystem | ERROR    | analyze_symbol  | ❌ 036460 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:46:15 | TradingSystem | ERROR    | analyze_symbol  | ❌ 161390 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:46:24 | TradingSystem | ERROR    | analyze_symbol  | ❌ 263750 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:46:32 | TradingSystem | ERROR    | analyze_symbol  | ❌ 140410 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:46:41 | TradingSystem | ERROR    | analyze_symbol  | ❌ 005070 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:46:51 | TradingSystem | ERROR    | analyze_symbol  | ❌ 083650 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:47:57 | TradingSystem | ERROR    | analyze_symbol  | ❌ 214450 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:48:05 | TradingSystem | ERROR    | analyze_symbol  | ❌ 329180 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:48:13 | TradingSystem | ERROR    | analyze_symbol  | ❌ 373220 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:48:22 | TradingSystem | ERROR    | analyze_symbol  | ❌ 018670 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:48:31 | TradingSystem | ERROR    | analyze_symbol  | ❌ 010120 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:48:39 | TradingSystem | ERROR    | analyze_symbol  | ❌ 068270 분석 실패: 'dict' object has no attribute 'symbol'
