2025-07-19 06:06:51 | SmartKISCollector | INFO     | __init__        | ✅ SmartKISCollector 초기화 완료
2025-07-19 06:06:51 | SmartKISCollector | INFO     | initialize      | 🚀 KIS API 초기화 시작...
2025-07-19 06:06:51 | SmartKISCollector | INFO     | load_cached_token | ✅ 캐시된 토큰 사용
2025-07-19 06:06:53 | SmartKISCollector | INFO     | _test_connection | ✅ 연결 테스트 성공
2025-07-19 06:06:53 | SmartKISCollector | INFO     | initialize      | ✅ KIS API 초기화 완료
2025-07-19 06:06:55 | AnalysisEngine | INFO     | __init__        | ✅ 뉴스 수집기 초기화 완료
2025-07-19 06:06:55 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-07-19 06:06:55 | AnalysisEngine | INFO     | __init__        | ✅ 향상된 기술적 분석기 초기화 완료
2025-07-19 06:06:55 | AnalysisEngine | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-19 06:06:55 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-19 06:06:55 | AnalysisEngine | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-19 06:06:56 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-07-19 06:06:56 | SmartKISCollector | INFO     | get_filtered_stocks | 🔍 필터링된 종목 조회 시작 (목표: 100개)
2025-07-19 06:06:56 | SmartKISCollector | INFO     | collect_filtered_stocks | 🎯 필터링된 종목 수집 시작 (최대 100개)
2025-07-19 06:06:56 | SmartKISCollector | INFO     | get_stock_list  | 📋 종목 리스트 조회 중...
2025-07-19 06:06:57 | SmartKISCollector | INFO     | _get_stock_list_pykrx | 📅 조회 기준일: 20250718
2025-07-19 06:07:01 | SmartKISCollector | INFO     | _get_stock_list_pykrx | ✅ KOSPI 870개
2025-07-19 06:07:01 | SmartKISCollector | INFO     | _get_stock_list_pykrx | ✅ KOSDAQ 1715개
2025-07-19 06:07:01 | SmartKISCollector | INFO     | _get_stock_list_pykrx | ✅ 총 2651개 종목 조회 완료
2025-07-19 06:07:01 | SmartKISCollector | INFO     | collect_filtered_stocks | 📊 전체 종목 수: 2651개
2025-07-19 06:07:05 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 100/2651
2025-07-19 06:07:09 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 200/2651
2025-07-19 06:07:12 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 300/2651
2025-07-19 06:07:16 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 400/2651
2025-07-19 06:07:20 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 500/2651
2025-07-19 06:07:23 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 600/2651
2025-07-19 06:07:27 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 700/2651
2025-07-19 06:07:31 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 800/2651
2025-07-19 06:07:35 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 900/2651
2025-07-19 06:07:38 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 1000/2651
2025-07-19 06:07:42 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 1100/2651
2025-07-19 06:07:46 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 1200/2651
2025-07-19 06:07:50 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 1300/2651
2025-07-19 06:07:54 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 1400/2651
2025-07-19 06:07:57 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 1500/2651
2025-07-19 06:08:01 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 1600/2651
2025-07-19 06:08:03 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 1700/2651
2025-07-19 06:08:07 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 1800/2651
2025-07-19 06:08:10 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 1900/2651
2025-07-19 06:08:14 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 2000/2651
2025-07-19 06:08:18 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 2100/2651
2025-07-19 06:08:21 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 2200/2651
2025-07-19 06:08:23 | SmartKISCollector | INFO     | collect_filtered_stocks | ✅ 종목 수집 완료: 100개
2025-07-19 06:08:23 | NewsCollector | INFO     | analyze_stock_materials | 
🔍 리노공업 (058470) 재료 분석 중...
2025-07-19 06:08:23 | NewsCollector | INFO     | search_stock_news_naver |    🔍 네이버에서 리노공업 뉴스 검색 중...
2025-07-19 06:08:28 | NewsCollector | INFO     | search_stock_news_naver |    📰 리노공업 뉴스 10개 수집
2025-07-19 06:08:28 | NewsCollector | INFO     | analyze_stock_materials |    📄 장기재료: 개인은 738억원을 순매도했고, 외국인과 기관은 각각 424억원과 322억원을 순매수했다....
2025-07-19 06:08:28 | NewsCollector | INFO     | analyze_stock_materials |       키워드: 바이오, 매수
2025-07-19 06:08:28 | NewsCollector | INFO     | analyze_stock_materials |    📄 단기재료: 리노공업의 시가총액은 3조 8,335억 원이며, 코스닥 시가총액 순위는 11위를 기록했다....
2025-07-19 06:08:28 | NewsCollector | INFO     | analyze_stock_materials |       키워드: 상장
2025-07-19 06:08:28 | NewsCollector | INFO     | analyze_stock_materials |    📄 중기재료: |중앙이코노미뉴스 김준수 기자|리노공업CI 지난 15일 메리츠증권은리노공업에 대해 올해 2...
2025-07-19 06:08:28 | NewsCollector | INFO     | analyze_stock_materials |       키워드: 연구개발
2025-07-19 06:08:28 | NewsCollector | INFO     | analyze_stock_materials |    ✅ 재료 분석 완료: 장기재료 (가중치 점수: 6.99)
2025-07-19 06:08:28 | AnalysisEngine | INFO     | analyze_comprehensive | 🔬 058470 (리노공업) 종합 분석 시작 (수급+차트패턴 포함)...
2025-07-19 06:08:28 | NewsCollector | INFO     | analyze_stock_materials | 
🔍 리노공업 (058470) 재료 분석 중...
2025-07-19 06:08:28 | NewsCollector | INFO     | search_stock_news_naver |    🔍 네이버에서 리노공업 뉴스 검색 중...
2025-07-19 06:08:32 | NewsCollector | INFO     | search_stock_news_naver |    📰 리노공업 뉴스 10개 수집
2025-07-19 06:08:32 | NewsCollector | INFO     | analyze_stock_materials |    📄 장기재료: 개인은 738억원을 순매도했고, 외국인과 기관은 각각 424억원과 322억원을 순매수했다....
2025-07-19 06:08:32 | NewsCollector | INFO     | analyze_stock_materials |       키워드: 바이오, 매수
2025-07-19 06:08:32 | NewsCollector | INFO     | analyze_stock_materials |    📄 단기재료: 리노공업의 시가총액은 3조 8,335억 원이며, 코스닥 시가총액 순위는 11위를 기록했다....
2025-07-19 06:08:32 | NewsCollector | INFO     | analyze_stock_materials |       키워드: 상장
2025-07-19 06:08:32 | NewsCollector | INFO     | analyze_stock_materials |    📄 중기재료: |중앙이코노미뉴스 김준수 기자|리노공업CI 지난 15일 메리츠증권은리노공업에 대해 올해 2...
2025-07-19 06:08:32 | NewsCollector | INFO     | analyze_stock_materials |       키워드: 연구개발
2025-07-19 06:08:32 | NewsCollector | INFO     | analyze_stock_materials |    ✅ 재료 분석 완료: 장기재료 (가중치 점수: 6.99)
2025-07-19 06:08:32 | AnalysisEngine | INFO     | calculate_news_sentiment_score |    📰 뉴스 분석: 장기재료 (재료점수: 7.0, 최종점수: 75.9)
2025-07-19 06:08:32 | SupplyDemandAnalyzer | INFO     | analyze         | 📊 수급 분석 시작 - 058470
2025-07-19 06:08:32 | SupplyDemandAnalyzer | INFO     | analyze         | ✅ 수급 분석 완료 - 058470 점수: 47.9
2025-07-19 06:08:32 | ChartPatternAnalyzer | INFO     | analyze         | 📈 차트패턴 분석 시작 - 058470 (058470)
