2025-07-14 12:52:21 | SmartKISCollector | INFO     | __init__        | ✅ SmartKISCollector 초기화 완료
2025-07-14 12:52:21 | SmartKISCollector | INFO     | initialize      | 🚀 KIS API 초기화 시작...
2025-07-14 12:52:21 | SmartKISCollector | INFO     | load_cached_token | 🔄 저장된 토큰이 곧 만료됨
2025-07-14 12:52:21 | SmartKISCollector | INFO     | request_new_token | 🔑 새 토큰 발급 중...
2025-07-14 12:52:21 | SmartKISCollector | INFO     | _save_token_to_file | 💾 토큰 캐시 저장 완료
2025-07-14 12:52:21 | SmartKISCollector | INFO     | request_new_token | ✅ 새 토큰 발급 성공
2025-07-14 12:52:21 | SmartKISCollector | INFO     | _test_connection | ✅ 연결 테스트 성공
2025-07-14 12:52:21 | SmartKISCollector | INFO     | initialize      | ✅ KIS API 초기화 완료
2025-07-14 12:52:45 | AnalysisEngine | WARNING  | __init__        | ⚠️ 뉴스 수집기 초기화 실패: No module named 'bs4'
2025-07-14 12:52:45 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-07-14 12:52:45 | AnalysisEngine | INFO     | __init__        | ✅ 향상된 기술적 분석기 초기화 완료
2025-07-14 12:52:45 | AnalysisEngine | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-14 12:52:45 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-14 12:52:45 | AnalysisEngine | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-14 12:52:45 | SmartKISCollector | INFO     | get_filtered_stocks | 🔍 필터링된 종목 조회 시작 (목표: 50개)
2025-07-14 12:52:45 | SmartKISCollector | INFO     | collect_filtered_stocks | 🎯 필터링된 종목 수집 시작 (최대 50개)
2025-07-14 12:52:45 | SmartKISCollector | INFO     | get_stock_list  | 📋 종목 리스트 조회 중...
2025-07-14 12:52:46 | SmartKISCollector | INFO     | _get_stock_list_pykrx | 📅 조회 기준일: 20250714
2025-07-14 12:52:53 | SmartKISCollector | INFO     | _get_stock_list_pykrx | ✅ KOSPI 871개
2025-07-14 12:52:57 | SmartKISCollector | INFO     | _get_stock_list_pykrx | ✅ KOSDAQ 1714개
2025-07-14 12:52:57 | SmartKISCollector | INFO     | _get_stock_list_pykrx | ✅ 총 2651개 종목 조회 완료
2025-07-14 12:52:57 | SmartKISCollector | INFO     | collect_filtered_stocks | 📊 전체 종목 수: 2651개
2025-07-14 12:53:00 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 100/2651
2025-07-14 12:53:02 | SmartKISCollector | INFO     | process_stock   | 📈 진행률: 200/2651
2025-07-14 12:53:02 | SmartKISCollector | INFO     | collect_filtered_stocks | ✅ 종목 수집 완료: 58개
2025-07-14 12:53:02 | AnalysisEngine | INFO     | analyze_comprehensive | 🔬 079550 (LIG넥스원) 종합 분석 시작 (수급+차트패턴 포함)...
2025-07-14 12:53:02 | SupplyDemandAnalyzer | INFO     | analyze         | 📊 수급 분석 시작 - UNKNOWN
2025-07-14 12:53:02 | SupplyDemandAnalyzer | INFO     | analyze         | ✅ 수급 분석 완료 - UNKNOWN 점수: 52.4
2025-07-14 12:53:02 | ChartPatternAnalyzer | INFO     | analyze         | 📈 차트패턴 분석 시작 - 079550
2025-07-14 12:53:02 | PatternDetector | INFO     | detect_patterns | 🔍 패턴 감지 시작 - UNKNOWN
2025-07-14 12:53:02 | PatternDetector | INFO     | detect_patterns | ✅ 패턴 감지 완료 - UNKNOWN: 0개 패턴, 점수: 50.0
2025-07-14 12:53:02 | ChartPatternAnalyzer | INFO     | analyze         | ✅ 차트패턴 분석 완료 - 079550 점수: 45.8
2025-07-14 12:53:02 | AnalysisEngine | INFO     | analyze_comprehensive | ✅ 079550 종합 분석 완료 - 점수: 52.8, 추천: HOLD
2025-07-14 12:53:02 | AnalysisEngine | INFO     | analyze_comprehensive |    📊 구성: 기술(70.0) + 펀더(30.0) + 뉴스(50.0) + 수급(52.4) + 패턴(45.8)
2025-07-14 12:53:02 | AnalysisEngine | INFO     | analyze_comprehensive | 🔬 267260 (HD현대일렉트릭) 종합 분석 시작 (수급+차트패턴 포함)...
2025-07-14 12:53:02 | SupplyDemandAnalyzer | INFO     | analyze         | 📊 수급 분석 시작 - UNKNOWN
2025-07-14 12:53:02 | SupplyDemandAnalyzer | INFO     | analyze         | ✅ 수급 분석 완료 - UNKNOWN 점수: 49.1
2025-07-14 12:53:02 | ChartPatternAnalyzer | INFO     | analyze         | 📈 차트패턴 분석 시작 - 267260
2025-07-14 12:53:02 | PatternDetector | INFO     | detect_patterns | 🔍 패턴 감지 시작 - UNKNOWN
2025-07-14 12:53:02 | PatternDetector | INFO     | detect_patterns | ✅ 패턴 감지 완료 - UNKNOWN: 0개 패턴, 점수: 50.0
2025-07-14 12:53:02 | ChartPatternAnalyzer | INFO     | analyze         | ✅ 차트패턴 분석 완료 - 267260 점수: 45.1
2025-07-14 12:53:02 | AnalysisEngine | INFO     | analyze_comprehensive | ✅ 267260 종합 분석 완료 - 점수: 46.4, 추천: HOLD
2025-07-14 12:53:02 | AnalysisEngine | INFO     | analyze_comprehensive |    📊 구성: 기술(50.0) + 펀더(30.0) + 뉴스(50.0) + 수급(49.1) + 패턴(45.1)
2025-07-14 12:53:03 | AnalysisEngine | INFO     | analyze_comprehensive | 🔬 329180 (HD현대중공업) 종합 분석 시작 (수급+차트패턴 포함)...
2025-07-14 12:53:03 | SupplyDemandAnalyzer | INFO     | analyze         | 📊 수급 분석 시작 - UNKNOWN
2025-07-14 12:53:03 | SupplyDemandAnalyzer | INFO     | analyze         | ✅ 수급 분석 완료 - UNKNOWN 점수: 38.6
2025-07-14 12:53:03 | ChartPatternAnalyzer | INFO     | analyze         | 📈 차트패턴 분석 시작 - 329180
2025-07-14 12:53:03 | PatternDetector | INFO     | detect_patterns | 🔍 패턴 감지 시작 - UNKNOWN
2025-07-14 12:53:03 | PatternDetector | INFO     | detect_patterns | ✅ 패턴 감지 완료 - UNKNOWN: 0개 패턴, 점수: 50.0
2025-07-14 12:53:03 | ChartPatternAnalyzer | INFO     | analyze         | ✅ 차트패턴 분석 완료 - 329180 점수: 50.0
2025-07-14 12:53:03 | AnalysisEngine | INFO     | analyze_comprehensive | ✅ 329180 종합 분석 완료 - 점수: 44.4, 추천: WEAK_SELL
2025-07-14 12:53:03 | AnalysisEngine | INFO     | analyze_comprehensive |    📊 구성: 기술(45.0) + 펀더(30.0) + 뉴스(50.0) + 수급(38.6) + 패턴(50.0)
2025-07-14 12:53:03 | AnalysisEngine | INFO     | analyze_comprehensive | 🔬 051900 (LG생활건강) 종합 분석 시작 (수급+차트패턴 포함)...
2025-07-14 12:53:03 | SupplyDemandAnalyzer | INFO     | analyze         | 📊 수급 분석 시작 - UNKNOWN
2025-07-14 12:53:03 | SupplyDemandAnalyzer | INFO     | analyze         | ✅ 수급 분석 완료 - UNKNOWN 점수: 51.5
2025-07-14 12:53:03 | ChartPatternAnalyzer | INFO     | analyze         | 📈 차트패턴 분석 시작 - 051900
2025-07-14 12:53:03 | PatternDetector | INFO     | detect_patterns | 🔍 패턴 감지 시작 - UNKNOWN
2025-07-14 12:53:03 | PatternDetector | INFO     | detect_patterns | ✅ 패턴 감지 완료 - UNKNOWN: 0개 패턴, 점수: 50.0
2025-07-14 12:53:03 | ChartPatternAnalyzer | INFO     | analyze         | ✅ 차트패턴 분석 완료 - 051900 점수: 50.0
2025-07-14 12:53:03 | AnalysisEngine | INFO     | analyze_comprehensive | ✅ 051900 종합 분석 완료 - 점수: 53.6, 추천: HOLD
2025-07-14 12:53:03 | AnalysisEngine | INFO     | analyze_comprehensive |    📊 구성: 기술(55.0) + 펀더(50.0) + 뉴스(50.0) + 수급(51.5) + 패턴(50.0)
2025-07-14 12:53:03 | AnalysisEngine | INFO     | analyze_comprehensive | 🔬 009540 (HD한국조선해양) 종합 분석 시작 (수급+차트패턴 포함)...
2025-07-14 12:53:03 | SupplyDemandAnalyzer | INFO     | analyze         | 📊 수급 분석 시작 - UNKNOWN
2025-07-14 12:53:03 | SupplyDemandAnalyzer | INFO     | analyze         | ✅ 수급 분석 완료 - UNKNOWN 점수: 40.1
2025-07-14 12:53:03 | ChartPatternAnalyzer | INFO     | analyze         | 📈 차트패턴 분석 시작 - 009540
2025-07-14 12:53:03 | PatternDetector | INFO     | detect_patterns | 🔍 패턴 감지 시작 - UNKNOWN
2025-07-14 12:53:03 | PatternDetector | INFO     | detect_patterns | ✅ 패턴 감지 완료 - UNKNOWN: 0개 패턴, 점수: 50.0
2025-07-14 12:53:03 | ChartPatternAnalyzer | INFO     | analyze         | ✅ 차트패턴 분석 완료 - 009540 점수: 50.0
2025-07-14 12:53:03 | AnalysisEngine | INFO     | analyze_comprehensive | ✅ 009540 종합 분석 완료 - 점수: 48.8, 추천: HOLD
