2025-07-19 07:07:40 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 004000 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:07:48 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 103590 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:07:57 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 140410 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:08:07 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 023590 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:08:16 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 083650 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:08:25 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 005070 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:08:34 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 018290 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:08:42 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 081660 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:22:38 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 375500 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:22:46 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 006040 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:22:55 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 253450 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 08:03:54 | AnalysisEngine | ERROR    | async_news_analysis | ❌ 뉴스 분석 실패: AnalysisEngine.calculate_news_sentiment_score() takes 3 positional arguments but 4 were given
2025-07-19 08:03:59 | AnalysisEngine | ERROR    | async_news_analysis | ❌ 뉴스 분석 실패: AnalysisEngine.calculate_news_sentiment_score() takes 3 positional arguments but 4 were given
2025-07-19 08:04:03 | AnalysisEngine | ERROR    | async_news_analysis | ❌ 뉴스 분석 실패: AnalysisEngine.calculate_news_sentiment_score() takes 3 positional arguments but 4 were given
2025-07-19 08:04:08 | AnalysisEngine | ERROR    | async_news_analysis | ❌ 뉴스 분석 실패: AnalysisEngine.calculate_news_sentiment_score() takes 3 positional arguments but 4 were given
2025-07-19 08:05:28 | AnalysisEngine | ERROR    | async_news_analysis | ❌ 뉴스 분석 실패: object dict can't be used in 'await' expression
2025-07-19 08:05:37 | AnalysisEngine | ERROR    | async_news_analysis | ❌ 뉴스 분석 실패: object dict can't be used in 'await' expression
