2025-08-05 10:07:49 | ChartPatternAnalyzer | ERROR    | analyze         | ❌ 068270 (종목068270) 패턴 감지 실패: 'coroutine' object has no attribute 'get'
2025-08-05 10:07:49 | ChartPatternAnalyzer | ERROR    | analyze         | ❌ 105560 (종목105560) 패턴 감지 실패: 'coroutine' object has no attribute 'get'
2025-08-05 10:07:59 | ChartPatternAnalyzer | ERROR    | analyze         | ❌ 005930 (종목005930) 패턴 감지 실패: 'coroutine' object has no attribute 'get'
2025-08-05 10:07:59 | ChartPatternAnalyzer | ERROR    | analyze         | ❌ 000660 (종목000660) 패턴 감지 실패: 'coroutine' object has no attribute 'get'
2025-08-05 10:07:59 | ChartPatternAnalyzer | ERROR    | analyze         | ❌ 035420 (종목035420) 패턴 감지 실패: 'coroutine' object has no attribute 'get'
2025-08-05 10:07:59 | ChartPatternAnalyzer | ERROR    | analyze         | ❌ 005380 (종목005380) 패턴 감지 실패: 'coroutine' object has no attribute 'get'
2025-08-05 10:07:59 | ChartPatternAnalyzer | ERROR    | analyze         | ❌ 051910 (종목051910) 패턴 감지 실패: 'coroutine' object has no attribute 'get'
2025-08-05 10:07:59 | ChartPatternAnalyzer | ERROR    | analyze         | ❌ 028260 (종목028260) 패턴 감지 실패: 'coroutine' object has no attribute 'get'
2025-08-05 10:07:59 | ChartPatternAnalyzer | ERROR    | analyze         | ❌ 006400 (종목006400) 패턴 감지 실패: 'coroutine' object has no attribute 'get'
2025-08-05 10:07:59 | ChartPatternAnalyzer | ERROR    | analyze         | ❌ 000270 (종목000270) 패턴 감지 실패: 'coroutine' object has no attribute 'get'
2025-08-05 10:07:59 | ChartPatternAnalyzer | ERROR    | analyze         | ❌ 068270 (종목068270) 패턴 감지 실패: 'coroutine' object has no attribute 'get'
2025-08-05 10:07:59 | ChartPatternAnalyzer | ERROR    | analyze         | ❌ 105560 (종목105560) 패턴 감지 실패: 'coroutine' object has no attribute 'get'
2025-08-05 15:08:06 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 005930 KIS API에서 가격 데이터를 가져올 수 없습니다
