2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 097955 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 000480 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 000590 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 012030 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 005830 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 016610 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 000990 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 000300 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 001530 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 015590 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 000210 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 000215 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 375500 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 37550L 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
2025-07-06 06:05:54 | SmartKISCollector | WARNING  | get_stock_info  | ⚠️ 37550K 종목 정보 조회 오류: 'SmartKISCollector' object has no attribute '_ensure_session'
