2025-07-05 07:27:12 | AnalysisEngine | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-05 07:27:12 | KISCollector | INFO     | initialize      | 🔌 KIS API 연결 초기화 중...
2025-07-05 07:27:12 | KISCollector | INFO     | _get_access_token | 🔑 새 액세스 토큰 발급 시도...
2025-07-05 07:27:13 | KISCollector | INFO     | _save_token_to_file | 💾 토큰 정보 저장 완료
2025-07-05 07:27:13 | KISCollector | INFO     | _get_access_token | ✅ 새 액세스 토큰 발급 성공
2025-07-05 07:27:13 | KISCollector | INFO     | initialize      | ✅ KIS API 초기화 완료
2025-07-05 07:27:13 | KISCollector | INFO     | initialize      | 🔌 KIS API 연결 초기화 중...
2025-07-05 07:27:13 | KISCollector | INFO     | _get_access_token | 🔑 새 액세스 토큰 발급 시도...
2025-07-05 07:27:13 | KISCollector | ERROR    | _get_access_token | ❌ 액세스 토큰 발급 실패: 403, {"error_description":"접근토큰 발급 잠시 후 다시 시도하세요(1분당 1회)","error_code":"EGW00133"}
2025-07-05 07:27:13 | KISCollector | INFO     | close           | ✅ KIS API 연결 종료
2025-07-05 07:35:08 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-07-05 07:35:09 | AnalysisEngine | INFO     | __init__        | ✅ 뉴스 수집기 초기화 완료
2025-07-05 07:35:09 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-05 07:35:09 | TechnicalAnalyzer | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-05 07:35:09 | TechnicalAnalyzer | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-05 07:35:09 | AnalysisEngine | INFO     | __init__        | ✅ 향상된 기술적 분석기 초기화 완료
2025-07-05 07:35:09 | AnalysisEngine | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-05 07:35:09 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-05 07:35:09 | AnalysisEngine | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-05 07:35:09 | KISCollector | INFO     | initialize      | 🔌 KIS API 연결 초기화 중...
2025-07-05 07:35:09 | KISCollector | INFO     | _get_access_token | 🔑 새 액세스 토큰 발급 시도...
2025-07-05 07:35:09 | KISCollector | INFO     | _save_token_to_file | 💾 토큰 정보 저장 완료
2025-07-05 07:35:09 | KISCollector | INFO     | _get_access_token | ✅ 새 액세스 토큰 발급 성공
2025-07-05 07:35:09 | KISCollector | INFO     | initialize      | ✅ KIS API 초기화 완료
2025-07-05 07:35:09 | KISCollector | INFO     | initialize      | 🔌 KIS API 연결 초기화 중...
2025-07-05 07:35:09 | KISCollector | INFO     | _get_access_token | 🔑 새 액세스 토큰 발급 시도...
