2025-07-17 05:44:43 | SmartKISCollector | INFO     | __init__        | ✅ SmartKISCollector 초기화 완료
2025-07-17 05:44:43 | SmartKISCollector | INFO     | initialize      | 🚀 KIS API 초기화 시작...
2025-07-17 05:44:43 | SmartKISCollector | INFO     | load_cached_token | ✅ 캐시된 토큰 사용
2025-07-17 05:44:44 | SmartKISCollector | INFO     | _test_connection | ✅ 연결 테스트 성공
2025-07-17 05:44:44 | SmartKISCollector | INFO     | initialize      | ✅ KIS API 초기화 완료
2025-07-17 05:44:46 | AnalysisEngine | INFO     | __init__        | ✅ 뉴스 수집기 초기화 완료
2025-07-17 05:44:46 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-07-17 05:44:46 | AnalysisEngine | INFO     | __init__        | ✅ 향상된 기술적 분석기 초기화 완료
2025-07-17 05:44:46 | AnalysisEngine | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-17 05:44:46 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-17 05:44:46 | AnalysisEngine | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-17 05:44:46 | SmartKISCollector | INFO     | get_filtered_stocks | 🔍 필터링된 종목 조회 시작 (목표: 100개)
2025-07-17 05:44:46 | SmartKISCollector | INFO     | collect_filtered_stocks | 🎯 필터링된 종목 수집 시작 (최대 100개)
2025-07-17 05:44:46 | SmartKISCollector | INFO     | get_stock_list  | 📋 종목 리스트 조회 중...
2025-07-17 05:44:47 | SmartKISCollector | INFO     | _get_stock_list_pykrx | 📅 조회 기준일: 20250717
2025-07-17 05:44:51 | SmartKISCollector | INFO     | _get_stock_list_pykrx | ✅ KOSPI 870개
2025-07-17 05:44:51 | SmartKISCollector | INFO     | _get_stock_list_pykrx | ✅ KOSDAQ 1715개
2025-07-17 05:44:51 | SmartKISCollector | INFO     | _get_stock_list_pykrx | ✅ 총 2651개 종목 조회 완료
2025-07-17 05:44:51 | SmartKISCollector | INFO     | collect_filtered_stocks | 📊 전체 종목 수: 2651개
2025-07-17 05:44:51 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:51 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:51 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:51 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:51 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:51 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:51 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:51 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:51 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:51 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:51 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:52 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:53 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:54 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:55 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
2025-07-17 05:44:55 | SmartKISCollector | WARNING  | _get_safe_config_values | ⚠️ Config 접근 실패: type object 'Config' has no attribute 'trading'
